web-scraper-order,web-scraper-start-url,chiens_links,chiens_links-href,nom,prix,adresse,image_links-src
"1752765270-50","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapins de race","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-de-race-1291213","Lapins de race","70 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3187687_uploaded_image1_1624451192.jpg"
"1752765273-51","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapins de race","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-de-race-1291215","Lapins de race","70 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3187687_uploaded_image1_1624451192.jpg"
"1752765276-52","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapin","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-1291244","Lapin","25 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_4975768_uploaded_image1_1727986043.jpg"
"1752765280-53","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Dinde d'Amérique","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/dinde-damerique-1346036","Dinde d'Amérique","Prix sur demande","Dakar, Sénégal",""
"1752765283-54","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Canards","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/canards-1346042","Canards","5 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1346042_uploaded_image1_1576463783.33.png"
"1752765287-55","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapins de race","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-de-race-1364891","Lapins de race","80 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1364891_uploaded_image1_1576778546.81.png"
"1752765289-56","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Oeuf fécondé","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/oeuf-feconde-1365452","Oeuf fécondé","240 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1365452_uploaded_image1_1576790350.48.png"
"1752765292-57","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Trio Bantam de Pékin","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/trio-bantam-de-pekin-1415870","Trio Bantam de Pékin","60 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1415870_uploaded_image1_1577915713.92.png"
"1752765295-58","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Brahmane","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/brahmane-1415899","Brahmane","50 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4401630_uploaded_image1_1696382057.jpg"
"1752765298-59","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet de race","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-race-1417714","Poulet de race","40 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3788366_uploaded_image1_1658082013.jpg"
"1752765300-60","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poussin hermine - 7 jours","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-hermine-7-jours-1432855","Poussin hermine - 7 jours","15 000 CFA","Sénégal","https://images.coinafrique.com/thumb_1432855_uploaded_image1_1578928555.77.png"
"1752765303-61","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poule","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-1461888","Poule","35 000 CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_5414572_uploaded_image1_1752060211.jpg"
"1752765305-62","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Males Bantam de Pékin","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/males-bantam-de-pekin-1480111","Males Bantam de Pékin","15 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1480111_uploaded_image1_1579028647.6.png"
"1752765308-63","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-1521236","Poulet","40 000 CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_4942161_uploaded_image1_1726204258.jpg"
"1752765311-64","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Couple Cochin","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-cochin-1577201","Couple Cochin","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3868279_uploaded_image1_1662589600.jpg"
"1752765313-65","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Oies","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/oies-1584132","Oies","90 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1584132_uploaded_image2_1580714620.25.png"
"1752765315-66","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Femelle cochin bleu","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-cochin-bleu-1599500","Femelle cochin bleu","30 000 CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1599500_uploaded_image1_1580916087.86.png"
"1752765318-67","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poule","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-1645136","Poule","55 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4787594_uploaded_image1_1717954434.jpg"
"1752765320-68","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Blond Panoramin","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/blond-panoramin-1654385","Blond Panoramin","40 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_1654385_uploaded_image1_1581775358.47.png"
